seg_id_nat,year,month,n,ANN,RGCN,RGCN_ptrn,RNN,range
2007,2005,6,30,3.319283244,2.874594843,3.019312345,3.138613455,3.5
2007,2005,7,31,3.640417731,3.379600289,3.138483281,3.312795934,3.5
2007,2005,8,31,2.731439991,2.252758624,2.610600939,1.759664242,3.6
2007,2006,6,30,4.050023788,3.466931623,3.64550444,4.654351788,3.6
2007,2006,7,31,5.274177924,4.169170254,4.835407383,6.273806592,3.6
2007,2006,8,31,1.864209228,1.58930264,1.415697101,2.065858096,3.7
2007,2007,6,30,3.364699787,2.83599623,3.451749233,4.182489235,3.7
2007,2007,7,31,3.987292351,3.590173142,3.903642227,4.233224145,3.7
2007,2007,8,31,3.029905319,3.385328429,2.987503761,2.76363863,3.7
2007,2008,6,30,3.506202639,3.42609002,3.886533948,4.465192294,3.7
2007,2008,7,31,4.445322829,3.290786973,3.849463705,5.122964218,3.7
2007,2008,8,31,2.600952656,2.940339127,2.590285534,2.502719208,3.8
2007,2009,7,31,2.1429744,2.521940239,2.748322512,2.387733385,3.8
2007,2009,8,31,2.008976055,1.632036725,1.592468191,2.589730956,3.8
2007,2010,6,30,1.076877179,1.076316659,1.109565387,1.405948622,3.8
2007,2010,7,31,1.847649079,1.49774872,1.340657554,2.288666252,3.4
2007,2010,8,31,3.397802761,3.579384995,3.238834759,3.785656185,3.4
2007,2011,6,30,1.674772367,2.051414236,1.971888888,2.569347771,3.4
2007,2011,7,31,4.643468182,4.697601648,4.804662466,5.060849309,3.3
2007,2011,8,31,3.985809886,4.480518121,4.235941028,4.599543233,3.3
2007,2012,6,30,2.539371318,2.157037298,2.253512531,2.413501115,3.3
2007,2012,8,31,3.14064338,3.350601608,3.090196268,3.176908537,3.2
2007,2013,6,30,3.439666238,1.907489153,2.810220737,3.759956763,3.2
2007,2013,7,31,5.157743016,4.2333712,4.647808894,6.129432166,3.2
2007,2013,8,29,3.372743616,1.966270862,2.123362699,2.930087094,3.21
2007,2014,6,30,3.457004396,2.296699148,3.055418655,3.880264887,3.1
2007,2014,7,31,2.842746443,1.967533434,2.327511559,3.34745421,3.1
2007,2014,8,31,2.556281713,3.494552574,3.649689555,3.111024739,3.1
2007,2015,6,30,2.460465706,2.370654809,2.132092627,2.491029908,3
2007,2015,7,31,2.787039495,2.713158193,2.703613823,2.948041077,3
2007,2016,6,30,2.86942578,2.905954248,2.671349661,2.461986682,3
2007,2016,7,31,3.906791209,3.642964232,3.586132571,3.359707427,3
2007,2016,8,31,1.742682198,1.759293293,1.692885494,2.219854886,3.5
2012,2005,6,30,1.044974063,0.769624192,0.527757239,1.375486956,3.5
2012,2005,7,31,0.640902926,0.490096533,0.566271281,1.462136704,3.5
2012,2005,8,31,1.334366557,1.290587297,1.303751621,2.092062278,3.5
2012,2006,8,31,1.347983614,1.163546694,1.157337892,2.033287732,3.5
2012,2007,7,29,1.215009158,0.921887885,1.015129507,2.093946516,3.5
2012,2007,8,31,1.143918051,1.031279361,1.140810149,1.766939131,3.5
2012,2008,6,30,0.921580001,0.665320051,0.73022593,1.252626137,3
2012,2008,8,31,0.821146676,0.709583933,0.858133145,1.303279412,3
2012,2009,6,30,1.741795884,1.341328257,1.023895151,1.903465304,3
2012,2009,7,31,1.237693048,1.018335683,0.914093047,1.706528659,3
2012,2009,8,31,1.01109947,0.893300029,0.858239401,1.724511054,3
2012,2010,7,31,0.715514797,0.67800392,0.835865946,1.605870339,3
2012,2010,8,31,0.918915655,0.728215266,0.863614556,1.568261884,3
2012,2011,6,30,1.186770732,0.67474594,0.398609482,1.903957196,3
2012,2011,7,31,0.892759909,0.829294148,0.911874831,1.662446268,3.1
2012,2011,8,31,1.22208605,1.243157752,1.169049975,1.702263379,3.1
2012,2012,6,30,0.796099212,0.544764802,0.61261487,1.438702023,3.1
2012,2012,7,31,0.962791693,1.055442715,1.231859414,1.866885659,3.1
2012,2012,8,31,0.563286159,0.469485553,0.636065972,1.198128355,3.2
2012,2013,6,30,0.873399989,0.617778707,0.655936832,0.980584312,3.2
2012,2013,7,31,0.581623929,0.423058207,0.429548928,1.099831506,3.2
2012,2013,8,31,0.541365562,0.397498406,0.397884043,0.787249871,3.2
2012,2014,7,29,1.052504698,0.677529568,0.644172715,1.906652538,3.2
2012,2014,8,31,1.184270364,1.047019543,1.115041228,1.762993358,3.2
2012,2015,6,30,1.041608053,0.516384777,0.475206698,1.712328916,3.4
2012,2015,7,31,0.492625312,0.56191047,0.610302169,1.014230374,3.4
2012,2015,8,31,0.732141927,0.529527347,0.568698244,1.456770484,3.4
2012,2016,6,30,0.805884508,0.400108194,0.409710998,1.119914516,3.4
2012,2016,7,31,0.616912197,0.534224202,0.721263167,1.354758027,3.5
2012,2016,8,31,0.490831296,0.390377027,0.463895894,0.98682139,3.5
2013,2005,6,30,0.824722545,0.897523035,0.395201815,0.650497915,3.5
2013,2005,7,31,0.772458441,0.629494824,0.622388533,0.518682131,3.5
2013,2005,8,31,1.057900781,0.8421302,0.565200458,0.716414487,3.5
2013,2006,6,30,0.81415435,0.96581019,0.66248928,0.577776963,3.5
2013,2006,7,31,0.928692798,0.924835135,0.453750208,0.474189339,3.5
2013,2006,8,31,1.018712618,0.693317858,0.374016252,0.583530674,3.5
2013,2007,6,30,0.943662347,0.820099394,0.444302009,0.552187462,3.5
2013,2007,7,31,0.933849652,0.725106997,0.574600051,0.645462656,3.5
2013,2007,8,31,0.760994504,0.632195573,0.46718318,0.609196357,3.5
2013,2008,6,30,0.925234138,0.876774078,0.429279784,0.736223698,3.5
2013,2008,7,31,1.08097757,0.899685463,0.368425239,0.650525744,3.5
2013,2008,8,31,0.823416984,0.483683324,0.363632913,0.478343697,3.6
2013,2009,6,30,0.665528834,0.385725147,0.293663989,0.451093088,3.6
2013,2009,7,31,0.793619235,0.408789266,0.659232507,0.455036699,3.6
2013,2009,8,31,1.118243859,0.794767871,0.397868592,0.770544907,3.6
