date,total_daily_count
2019-01-01,57
2019-01-02,57
2019-01-03,57
2019-01-04,57
2019-01-05,57
2019-01-06,56
2019-01-07,60
2019-01-08,57
2019-01-09,54
2019-01-10,54
2019-01-11,54
2019-01-12,54
2019-01-13,54
2019-01-14,54
2019-01-15,56
2019-01-16,52
2019-01-17,53
2019-01-18,52
2019-01-19,52
2019-01-20,51
2019-01-21,52
2019-01-22,53
2019-01-23,53
2019-01-24,52
2019-01-25,54
2019-01-26,53
2019-01-27,54
2019-01-28,56
2019-01-29,59
2019-01-30,59
2019-01-31,58
2019-02-01,62
2019-02-02,57
2019-02-03,56
2019-02-04,62
2019-02-05,64
2019-02-06,65
2019-02-07,57
2019-02-08,60
2019-02-09,57
2019-02-10,57
2019-02-11,60
2019-02-12,57
2019-02-13,60
2019-02-14,61
2019-02-15,57
2019-02-16,57
2019-02-17,57
2019-02-18,56
2019-02-19,56
2019-02-20,54
2019-02-21,55
2019-02-22,57
2019-02-23,58
2019-02-24,58
2019-02-25,58
2019-02-26,68
2019-02-27,58
2019-02-28,60
2019-03-01,59
2019-03-02,59
2019-03-03,59
2019-03-04,63
2019-03-05,62
2019-03-06,59
2019-03-07,59
2019-03-08,61
2019-03-09,62
2019-03-10,61
2019-03-11,70
2019-03-12,64
2019-03-13,63
2019-03-14,63
2019-03-15,64
2019-03-16,64
2019-03-17,64
2019-03-18,66
2019-03-19,67
2019-03-20,66
2019-03-21,67
2019-03-22,64
2019-03-23,64
2019-03-24,64
2019-03-25,72
2019-03-26,66
2019-03-27,71
2019-03-28,65
2019-03-29,63
2019-03-30,63
2019-03-31,63
2019-04-01,68
2019-04-02,67
2019-04-03,63
2019-04-04,69
2019-04-05,63
2019-04-06,62
2019-04-07,62
2019-04-08,65
2019-04-09,64
2019-04-10,64
2019-04-11,65
2019-04-12,64
2019-04-13,63
2019-04-14,63
2019-04-15,63
2019-04-16,64
2019-04-17,66
2019-04-18,63
2019-04-19,63
2019-04-20,63
2019-04-21,63
2019-04-22,70
2019-04-23,66
2019-04-24,67
2019-04-25,68
2019-04-26,63
2019-04-27,63
2019-04-28,62
