seg_id_nat,year,month,n,ANN_d001,ANN_d100,RGCN_d001,RGCN_d100,RGCN_ptrn_d001,RGCN_ptrn_d100,RNN_d001,RNN_d100
2007,2015,6,30,5.316831511,2.460465706,3.014868009,2.370654809,3.860272373,2.132092627,2.884756473,2.491029908
2012,2015,6,30,2.215246544,1.041608053,2.239480221,0.516384777,1.51648322,0.475206698,2.923072688,1.712328916
2013,2015,6,30,3.400066209,1.313970156,1.836811643,1.197874603,1.701223541,0.822574828,2.876915861,0.964716883
2014,2015,6,29,1.976408795,1.159482286,1.75904915,0.535851689,1.573239142,0.624377084,2.762498927,1.412671428
2019,2015,6,1,1.529132843,1.97394371,2.459157944,2.357624054,4.007070541,3.086545944,0.295061111,2.045944214
2020,2015,6,1,1.312933197,2.270631561,1.875301132,0.274404297,1.593312988,0.319820175,2.19249176,1.735097656
2021,2015,6,3,5.179702519,0.520917263,2.544014807,0.673365416,1.228362145,1.495467863,1.832417955,0.858640204
2023,2015,6,1,2.052954407,1.129328995,0.938578873,0.404540329,0.172353058,1.014408798,3.164566727,0.126220016
2027,2015,6,1,3.887964859,0.437452927,1.724123611,0.86359848,0.371714249,3.801334991,5.024038925,2.105591431
2030,2015,6,1,2.254774017,1.376310425,0.077476578,0.009931488,0.80558197,1.225172119,3.157663269,0.194408493
2031,2015,6,1,3.630352325,0.067928619,1.58508522,1.740351028,0.234663315,1.50768692,4.352945633,2.428951569
2033,2015,6,1,3.157603378,0.624195938,1.333502884,0.144856567,1.824198837,1.956953888,4.1611129,1.583962555
2034,2015,6,1,2.616109619,0.477289429,0.48984314,0.143572083,0.289665451,1.752013931,3.745771179,0.660062561
2036,2015,6,1,2.981650543,0.216025162,2.388756943,0.888588715,1.058533478,0.576601791,3.138617706,0.798937607
2037,2015,6,30,3.280271204,0.969646549,2.502033153,0.657879096,3.14813289,0.56770499,4.068036571,1.048938468
2044,2015,6,1,2.908140717,0.502491531,0.988789139,0.332569656,1.388704834,1.27978569,4.052393494,0.694823685
2046,2015,6,30,4.764972391,2.03331317,3.399510184,1.965063304,3.363553433,1.93438109,4.693477175,1.592718143
2007,2015,7,31,4.816327614,2.787039495,3.280503416,2.713158193,5.627989674,2.703613823,2.959812491,2.948041077
2012,2015,7,31,2.979028089,0.492625312,1.737811853,0.56191047,0.801601067,0.610302169,4.196486359,1.014230374
2013,2015,7,31,3.017497194,1.318180237,1.827044251,1.263787491,0.792513983,0.855429694,3.779023215,1.012535705
2014,2015,7,31,2.373679692,1.022401444,1.116649163,0.565507093,0.745004893,0.72803517,3.489249015,1.395045313
2019,2015,7,1,0.475981979,2.529740067,1.871948929,2.145466537,2.468188019,1.971369476,1.600022583,1.980860443
2020,2015,7,1,0.218405228,3.717404861,1.364345093,2.839141388,1.849750061,2.13240387,1.688707809,3.628009338
2021,2015,7,3,2.569641624,0.911755541,1.134191605,0.764547892,2.451144138,0.573840488,3.834648925,0.575910783
2023,2015,7,1,1.988814392,1.0225,0.52333931,1.905501328,0.270752945,0.03130249,3.613188782,0.521267853
2027,2015,7,1,3.861051483,0.352180405,1.974634094,0.1458358,1.827341003,2.327104492,5.464643402,1.163160248
2030,2015,7,1,0.325820007,3.646285019,0.827574692,2.9614534,1.707140884,1.90285965,1.939820328,3.592720947
2031,2015,7,1,2.259719086,1.796871948,0.753823471,0.872605133,0.017670441,0.740860748,3.708483887,0.268219757
2033,2015,7,1,2.793325729,1.899211578,1.274172134,1.103110962,1.032697983,0.177356415,4.504675217,0.121177368
2034,2015,7,1,1.425613861,1.64654686,0.017567139,2.410762329,0.471745987,0.207511444,3.072844009,1.067040939
2036,2015,7,1,1.884543686,0.946202011,0.579146652,1.262152405,0.229880066,0.021603317,3.78903511,0.430021973
2037,2015,7,31,3.833573894,1.022625219,2.351862303,0.734293432,1.85047891,0.430892989,5.14190881,0.485668237
2044,2015,7,1,2.012274094,0.361386948,1.481390305,0.364627533,0.819019623,0.307030029,3.839412994,1.282508545
2046,2015,7,31,4.8769452,2.6866818,3.965134162,2.016350334,2.23569533,1.828501776,5.880795738,2.124687711
2007,2015,8,24,2.042346736,2.415303457,2.407419035,3.51373554,7.707430601,3.334135531,2.897290734,2.044803554
2012,2015,8,31,2.440292116,0.732141927,0.898856646,0.529527347,1.306247055,0.568698244,3.643208514,1.456770484
2013,2015,8,31,2.434296404,1.18127991,1.297582475,0.854536843,1.32483532,0.674409648,3.384840416,0.827499207
